sentence	pictos_ref_ids	sense_keys
vous devez prendre ces trois comprimés ensemble	[[2608], [15525], [2349], [7092], [2629], [34565], [27091]]	[[], ['compel%2:41:00::', 'obligate%2:41:00::', 'oblige%2:41:00::'], ['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], [''], ['3%1:23:00::', 'deuce-ace%1:23:00::', 'iii%1:23:00::', 'leash%1:23:00::', 'tercet%1:23:00::', 'ternary%1:23:00::', 'ternion%1:23:00::', 'terzetto%1:23:00::', 'three%1:23:00::', 'threesome%1:23:00::', 'tierce%1:23:01::', 'trey%1:23:00::', 'triad%1:23:00::', 'trine%1:23:00::', 'trinity%1:23:00::', 'trio%1:23:00::', 'triplet%1:23:00::', 'troika%1:23:00::', '3%5:00:00:cardinal:00', 'iii%5:00:00:cardinal:00', 'three%5:00:00:cardinal:00', 'number%1:23:00::'], ['lozenge%1:06:00::', 'pill%1:06:00::', 'tab%1:06:00::', 'tablet%1:06:00::'], ['all%5:00:00:complete:00', 'all%4:02:00::', 'altogether%4:02:04::', 'completely%4:02:04::', 'entirely%4:02:00::', 'right%4:02:07::', 'totally%4:02:00::', 'whole%4:02:00::', 'wholly%4:02:00::']]
je vais vous prescrire un spray	[[2617], [7079], [2608], [26366], [8474], [26571]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [], ['prescribe%2:32:01::'], [], ['atomiser%1:06:00::', 'atomizer%1:06:00::', 'nebuliser%1:06:00::', 'nebulizer%1:06:00::', 'spray%1:06:00::', 'sprayer%1:06:00::']]
êtes vous inquiet par rapport à l'opération	[[5858], [2608], [26985], [7194], [7194], [7194], [8476], [27925]]	[['be%2:42:03::', 'be%2:42:06::'], [], ['apprehensive%5:00:00:uneasy:00', 'worried%5:00:00:uneasy:00', 'worry%2:37:00::', 'vex%2:37:02::', 'worry%2:37:01::'], [], [], [], [], ['operation%1:04:00::', 'surgery%1:04:01::', 'surgical_operation%1:04:00::', 'surgical_procedure%1:04:00::', 'surgical_process%1:04:00::']]
suivez la ligne verte	[[7037], [8476], [4684], [4886]]	[['follow%2:38:13::', 'pursue%2:38:00::', 'chase%2:38:00::', 'chase_after%2:38:00::', 'dog%2:38:00::', 'give_chase%2:38:00::', 'go_after%2:38:01::', 'tag%2:38:00::', 'tail%2:38:00::', 'track%2:38:00::', 'trail%2:38:00::'], [], ['straight_line%1:25:00::', 'line%1:15:00::'], ['dark-green%5:00:00:chromatic:00', 'green%5:00:00:chromatic:00', 'greenish%5:00:00:chromatic:00', 'light-green%5:00:00:chromatic:00']]
vous devez aller aux soins intensifs	[[2608], [15525], [7079], [11709], [30468], [30468]]	[[], ['compel%2:41:00::', 'obligate%2:41:00::', 'oblige%2:41:00::'], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [], ['icu%1:14:00::', 'intensive_care_unit%1:14:00::'], ['icu%1:14:00::', 'intensive_care_unit%1:14:00::']]
vous allez pouvoir rentrer à la maison	[[2608], [7079], [11750], [29714], [], [], []]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [''], ['return%2:38:00::'], [], [], []]
nous allons appeler un interprète	[[7185], [7079], [4686], [8474], [24619]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], ['call%2:32:09::', 'cry%2:32:01::', 'holler%2:32:05::', 'hollo%2:32:00::', 'scream%2:32:01::', 'shout%2:32:01::', 'shout_out%2:32:00::', 'squall%2:32:00::', 'yell%2:32:01::'], [], ['sign_language%1:10:00::', 'signing%1:10:00::', 'interpreter%1:18:01::', 'translator%1:18:00::']]
nous allons prévoir une consultation chez le dentiste	[[7185], [7079], [11706], [8474], [16165], [7041], [8476], [11229]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], ['design%2:36:00::', 'plan%2:36:01::'], [], ['appointment%1:14:00::', 'date%1:14:00::', 'engagement%1:14:00::'], [], [], ['dental_practitioner%1:18:00::', 'dentist%1:18:00::', 'tooth_doctor%1:18:00::', 'dental_surgeon%1:18:00::']]
vous avez une pneumonie une infection des poumons	[[2608], [9001], [8474], [5403], [8474], [6637], [8477], [2822]]	[[], ['be%2:42:00::', 'exist%2:42:00::'], [], ['bronchitis%1:26:00::'], [], ['illness%1:26:00::', 'malady%1:26:00::', 'sickness%1:26:00::', 'unwellness%1:26:00::'], [], ['lung%1:08:00::']]
je ne pense pas que l'os soit cassé	[[2617], [], [8661], [5526], [11351], [8476], [2972], [5858], [6604]]	[[], [], ['cerebrate%2:31:00::', 'cogitate%2:31:00::', 'think%2:31:00::', 'think%2:36:00::', 'intend%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::'], ['no%1:10:00::', 'no%4:02:00::', 'no%4:02:01::'], [''], [], ['bone%1:08:00::', 'os%1:08:00::', 'femoris%1:08:00::', 'femur%1:08:00::', 'thighbone%1:08:00::'], ['be%2:42:03::', 'be%2:42:06::'], ['break%2:30:10::', 'carve_up%2:41:00::', 'dissever%2:41:00::', 'divide%2:41:00::', 'separate%2:41:01::', 'split%2:41:03::', 'split_up%2:41:02::', 'bust%2:35:02::', 'rupture%2:35:00::', 'snap%2:35:01::', 'tear%2:35:00::']]
nous allons faire une analyse d'urine	[[7185], [7079], [11749], [8474], [8021], [8021], [8021]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], ['do%2:36:00::', 'make%2:36:05::', 'do%2:41:01::', 'make%2:41:00::', 'create%2:36:03::', 'make%2:36:01::', 'produce%2:36:00::'], [], ['uranalysis%1:04:00::', 'urinalysis%1:04:00::'], ['uranalysis%1:04:00::', 'urinalysis%1:04:00::'], ['uranalysis%1:04:00::', 'urinalysis%1:04:00::']]
je vais vous montrer comment faire l'injection d'insuline	[[2617], [7079], [2608], [11308], [22619], [11749], [8476], [24125], [24125], [24125]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [], ['demo%2:39:00::', 'demonstrate%2:39:01::', 'exhibit%2:39:00::', 'present%2:39:00::', 'show%2:39:02::', 'show%2:39:00::'], [''], ['do%2:36:00::', 'make%2:36:05::', 'do%2:41:01::', 'make%2:41:00::', 'create%2:36:03::', 'make%2:36:01::', 'produce%2:36:00::'], [], ['insulin%1:08:00::', 'inject%2:34:01::'], ['insulin%1:08:00::', 'inject%2:34:01::'], ['insulin%1:08:00::', 'inject%2:34:01::']]
avez vous observé des grains de beauté sur le corps	[[9001], [2608], [2474], [8477], [3218], [3218], [3218], [7814], [8476], [2728]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['see%2:39:00::', 'look%2:39:00::', 'consider%2:39:08::', 'look_at%2:39:01::', 'view%2:39:00::', 'observe%2:39:00::'], [], ['full_point%1:10:00::', 'full_stop%1:10:00::', 'period%1:10:00::', 'point%1:10:00::', 'stop%1:10:01::', 'mark%1:10:00::', 'decimal_point%1:10:00::', 'percentage_point%1:10:00::', 'point%1:10:04::'], ['full_point%1:10:00::', 'full_stop%1:10:00::', 'period%1:10:00::', 'point%1:10:00::', 'stop%1:10:01::', 'mark%1:10:00::', 'decimal_point%1:10:00::', 'percentage_point%1:10:00::', 'point%1:10:04::'], ['full_point%1:10:00::', 'full_stop%1:10:00::', 'period%1:10:00::', 'point%1:10:00::', 'stop%1:10:01::', 'mark%1:10:00::', 'decimal_point%1:10:00::', 'percentage_point%1:10:00::', 'point%1:10:04::'], [''], [], ['body%1:08:01::', 'torso%1:08:00::', 'trunk%1:08:00::']]
avez vous des démangeaisons	[[9001], [2608], [8477], [11356]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['itch%2:39:01::', 'rub%2:39:00::', 'scratch%2:39:00::', 'itch%2:39:00::']]
vous protégez vous la peau du soleil	[[2608], [37159], [], [8476], [2840], [11712], [2798]]	[[], ['bedazzle%2:39:00::', 'daze%2:39:01::', 'dazzle%2:39:00::'], [], [], ['cutis%1:08:00::', 'skin%1:08:00::', 'tegument%1:08:00::'], [], ['sun%1:17:00::']]
utilisez vous de la crème solaire	[[5096], [], [], [8476], [8515], [8515]]	[['apply%2:35:00::', 'put_on%2:35:00::', 'spread%2:35:13::'], [], [], [], ['tanning%1:22:00::'], ['tanning%1:22:00::']]
la verrue vous gratte t elle	[[8476], [26616], [2608], [11356], [], []]	[[], ['acne%1:26:00::', 'papule%1:26:00::', 'pustule%1:26:00::'], [], ['itch%2:39:01::', 'rub%2:39:00::', 'scratch%2:39:00::', 'itch%2:39:00::'], [], []]
la douleur est elle comme une décharge électrique	[[8476], [2367], [5858], [], [12313], [8474], [2819], [2819]]	[[], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], [], [], ['lightning%1:19:00::', 'lightning%1:11:00::'], ['lightning%1:19:00::', 'lightning%1:11:00::']]
avez vous la diarrhée	[[9001], [2608], [8476], [7023]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['diarrhea%1:26:00::', 'diarrhoea%1:26:00::', 'looseness%1:26:00::', 'looseness_of_the_bowels%1:26:00::']]
avez vous mal ailleurs	[[9001], [2608], [30620], [7764]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::', 'hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::'], []]
les lésions sentent elles mauvais	[[8477], [5484], [8028], [8028], [8028]]	[[], ['harm%1:26:00::', 'hurt%1:26:00::', 'injury%1:26:00::', 'trauma%1:26:02::', 'cut%1:26:00::', 'gash%1:26:00::', 'slash%1:26:00::', 'slice%1:26:00::'], ['reek%2:39:00::', 'stink%2:39:00::'], ['reek%2:39:00::', 'stink%2:39:00::'], ['reek%2:39:00::', 'stink%2:39:00::']]
avez vous une inflammation du foie	[[9001], [2608], [8474], [31833], [11712], [2980]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['umbilical%1:08:00::', 'umbilical_cord%1:08:00::', 'inflammation%1:26:00::', 'redness%1:26:00::', 'rubor%1:26:00::'], [], ['liver%1:08:00::']]
ça vous gratte de plus en plus	[[6906], [2608], [11356], [], [5521], [5521], [5521]]	[[], [], ['itch%2:39:01::', 'rub%2:39:00::', 'scratch%2:39:00::', 'itch%2:39:00::'], [], ['a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::', 'much%4:02:00::', 'a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::'], ['a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::', 'much%4:02:00::', 'a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::'], ['a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::', 'much%4:02:00::', 'a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::']]
il y a combien de semaines que vous avez eu vos dernières règles	[[9001], [9001], [9001], [7073], [7074], [7244], [11351], [2608], [9001], [], [12287], [27319], [32490]]	[['be%2:42:00::', 'exist%2:42:00::'], ['be%2:42:00::', 'exist%2:42:00::'], ['be%2:42:00::', 'exist%2:42:00::'], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['calendar_week%1:28:00::', 'week%1:28:02::'], [''], [], ['be%2:42:00::', 'exist%2:42:00::'], [], [''], ['old%5:00:00:preceding:00', 'previous%5:00:00:preceding:00', 'come_before%2:41:00::', 'precede%2:41:00::'], ['catamenia%1:22:00::', 'flow%1:22:01::', 'menses%1:22:00::', 'menstruation%1:22:00::', 'menstruum%1:22:00::', 'period%1:22:00::']]
avez vous eu beaucoup de coups de soleil quand vous étiez enfant	[[9001], [2608], [], [5521], [7074], [22064], [22064], [22064], [22621], [2608], [5858], [2485]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::', 'much%4:02:00::', 'a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::'], [], ['erythema_solare%1:26:00::', 'sunburn%1:26:00::'], ['erythema_solare%1:26:00::', 'sunburn%1:26:00::'], ['erythema_solare%1:26:00::', 'sunburn%1:26:00::'], [], [], ['be%2:42:03::', 'be%2:42:06::'], ['boy%1:18:00::', 'male_child%1:18:00::']]
connaissez vous l'identité de votre dernier partenaire sexuel	[[6993], [2608], [8476], [28307], [7074], [12285], [27319], [10344], [10344]]	[['know%2:31:00::'], [], [], ['profile%1:10:00::'], [], [''], ['old%5:00:00:preceding:00', 'previous%5:00:00:preceding:00', 'come_before%2:41:00::', 'precede%2:41:00::'], ['lover%1:18:00::', 'couple%1:14:01::', 'match%1:14:00::', 'mates%1:14:00::', 'heterosexual%3:00:00::'], ['lover%1:18:00::', 'couple%1:14:01::', 'match%1:14:00::', 'mates%1:14:00::', 'heterosexual%3:00:00::']]
depuis combien d'années prenez vous la pilule	[[7077], [7073], [7074], [6903], [2349], [2608], [8476], [15000]]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['twelvemonth%1:28:00::', 'year%1:28:01::', 'yr%1:28:00::'], ['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], [], [], ['anovulant%1:06:00::', 'anovulatory_drug%1:06:00::', 'birth_control_pill%1:06:00::', 'contraceptive_pill%1:06:00::', 'oral_contraceptive%1:06:00::', 'oral_contraceptive_pill%1:06:00::', 'pill%1:06:02::']]
la fièvre est elle soulagée par les médicaments	[[8476], [5470], [5858], [], [5397], [7212], [8477], [8163]]	[[], ['febricity%1:26:00::', 'febrility%1:26:00::', 'fever%1:26:00::', 'feverishness%1:26:00::', 'pyrexia%1:26:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['good%4:02:00::', 'well%4:02:00::', 'correct%3:00:04::', 'right%3:00:04::', 'all_right%5:00:00:satisfactory:00', 'cool%5:00:00:satisfactory:00', 'fine%5:00:00:satisfactory:00', 'hunky-dory%5:00:00:satisfactory:00', 'o.k.%5:00:00:satisfactory:00', 'ok%5:00:00:satisfactory:00', 'okay%5:00:00:satisfactory:00', 'o.k.%1:10:00::', 'ok%1:10:00::', 'okay%1:10:00::', 'okeh%1:10:00::', 'okey%1:10:00::'], [], [], ['medicament%1:06:00::', 'medication%1:06:00::', 'medicinal_drug%1:06:00::', 'medicine%1:06:00::', 'intervention%1:04:02::', 'treatment%1:04:00::']]
les boutons sont ils en cercle	[[8477], [26616], [5858], [], [11709], [4603]]	[[], ['acne%1:26:00::', 'papule%1:26:00::', 'pustule%1:26:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], [], ['circle%1:25:00::']]
les lésions cutanées sont elles déclenchées par le soleil	[[8477], [5578], [5578], [5858], [], [12295], [7212], [8476], [2798]]	[[], ['efflorescence%1:26:00::', 'rash%1:26:00::', 'roseola%1:26:00::', 'skin_rash%1:26:00::', 'eczema%1:26:00::'], ['efflorescence%1:26:00::', 'rash%1:26:00::', 'roseola%1:26:00::', 'skin_rash%1:26:00::', 'eczema%1:26:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['cause%1:11:00::', 'cause%1:10:00::', 'grounds%1:10:00::', 'reason%1:10:00::', 'origin%1:22:00::', 'inception%1:11:00::', 'origin%1:11:00::', 'origination%1:11:00::'], [], [], ['sun%1:17:00::']]
votre mère ou votre soeur a t elle eu un cancer du sein	[[12285], [2458], [11317], [12285], [2422], [9001], [], [], [], [8474], [32184], [32184], [32184]]	[[''], ['ma%1:18:00::', 'mama%1:18:00::', 'mamma%1:18:00::', 'mammy%1:18:00::', 'mom%1:18:00::', 'momma%1:18:00::', 'mommy%1:18:00::', 'mum%1:18:00::', 'mummy%1:18:00::', 'female_parent%1:18:00::', 'mother%1:18:00::'], [], [''], ['sis%1:18:00::', 'sister%1:18:00::'], ['be%2:42:00::', 'exist%2:42:00::'], [], [], [], [], ['inflammation%1:26:00::', 'redness%1:26:00::', 'rubor%1:26:00::', 'chest_pain%1:26:00::'], ['inflammation%1:26:00::', 'redness%1:26:00::', 'rubor%1:26:00::', 'chest_pain%1:26:00::'], ['inflammation%1:26:00::', 'redness%1:26:00::', 'rubor%1:26:00::', 'chest_pain%1:26:00::']]
êtes vous allergique aux piqûres d'insectes 	[[5858], [2608], [31662], [11709], [8665], [], []]	[['be%2:42:03::', 'be%2:42:06::'], [], ['allergic_reaction%1:26:00::', 'allergy%1:26:00::', 'allergic%5:00:00:susceptible:00', 'hypersensitised%5:00:00:susceptible:00', 'hypersensitive%5:00:00:susceptible:00', 'hypersensitized%5:00:00:susceptible:00', 'sensitised%5:00:00:susceptible:00', 'sensitized%5:00:00:susceptible:00', 'supersensitised%5:00:00:susceptible:00', 'supersensitive%5:00:00:susceptible:00', 'supersensitized%5:00:00:susceptible:00'], [], ['bite%2:35:02::', 'prick%2:35:03::', 'sting%2:35:01::'], [], []]
